osm_node_id,lat,lon,node_type
osm_node_00389,25.5885107,92.7333936,osm_network_node
osm_node_00390,25.4671344,92.2330543,osm_network_node
osm_node_00391,25.4665972,92.2340427,osm_network_node
osm_node_00392,25.4965466,92.1711683,osm_network_node
osm_node_00393,25.4776388,92.2223765,osm_network_node
osm_node_00394,25.47791,92.2216871,osm_network_node
osm_node_00395,25.4807381,92.2031236,osm_network_node
osm_node_00396,25.4812393,92.2008732,osm_network_node
osm_node_00397,25.4885268,92.171713,osm_network_node
osm_node_00398,25.4908248,92.1807109,osm_network_node
osm_node_00399,25.4908433,92.1808955,osm_network_node
osm_node_00400,25.4909169,92.1838707,osm_network_node
osm_node_00401,25.491988,92.1831646,osm_network_node
osm_node_00402,25.4968351,92.1893395,osm_network_node
osm_node_00403,25.4681374,92.2407793,osm_network_node
osm_node_00404,25.5067813,92.2421926,osm_network_node
osm_node_00405,25.4951102,92.1728361,osm_network_node
osm_node_00406,25.4950185,92.1714603,osm_network_node
osm_node_00407,25.5023991,92.1728763,osm_network_node
osm_node_00408,25.4986363,92.2097352,osm_network_node
osm_node_00409,25.4987017,92.209864,osm_network_node
osm_node_00410,25.509708,92.2210783,osm_network_node
osm_node_00411,25.4992839,92.1750945,osm_network_node
osm_node_00412,25.5114074,92.1927434,osm_network_node
osm_node_00413,25.5100832,92.2211936,osm_network_node
osm_node_00414,25.5120077,92.1931887,osm_network_node
osm_node_00415,25.5133875,92.1939504,osm_network_node
osm_node_00416,25.5137699,92.1941757,osm_network_node
osm_node_00417,25.5069411,92.2422758,osm_network_node
osm_node_00418,25.5212931,92.2494775,osm_network_node
osm_node_00419,25.5225324,92.2468623,osm_network_node
osm_node_00420,25.5165585,92.2547239,osm_network_node
osm_node_00421,25.5179576,92.2467631,osm_network_node
osm_node_00422,25.5158638,92.2451833,osm_network_node
osm_node_00423,25.5185046,92.2443947,osm_network_node
osm_node_00424,25.520078,92.2497082,osm_network_node
osm_node_00425,25.5193369,92.294931,osm_network_node
osm_node_00426,25.5317395,92.2061115,osm_network_node
osm_node_00427,25.5648782,92.2091532,osm_network_node
osm_node_00428,25.5550445,92.2119212,osm_network_node
osm_node_00429,25.5652823,92.2091639,osm_network_node
osm_node_00430,25.5194529,92.1544375,osm_network_node
osm_node_00431,25.6129608,92.2419432,osm_network_node
osm_node_00432,25.5699859,92.2085094,osm_network_node
osm_node_00433,25.641744,92.1936232,osm_network_node
